Reference,Full Reference,Experiment Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinter et al., 1992","Pinter Jr., P. J., Kimball, B. A., Wall, G. W., LaMorte, R. L., Hunsaker, D. J., Adamsen, F. J., Frumau, K. F. A., Vugts, H. F., Hendrey, G. R., Lewin, K. F., Nagy, J., Johnson, H. B., Wechsung, F., Leavitt, S. W., Thompson, T. L., Matthias, A. D., and Brooks, T. J.  Free-air CO2 enrichment (FACE):  blower effects on wheat canopy microclimate and plant development.  Agricultural and Forest Meteorology 103:319-332. 2000.",MaricopaFACE_wheat_pinter_cdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pinter et al., 1992","Pinter Jr., P. J., Kimball, B. A., Wall, G. W., LaMorte, R. L., Hunsaker, D. J., Adamsen, F. J., Frumau, K. F. A., Vugts, H. F., Hendrey, G. R., Lewin, K. F., Nagy, J., Johnson, H. B., Wechsung, F., Leavitt, S. W., Thompson, T. L., Matthias, A. D., and Brooks, T. J.  Free-air CO2 enrichment (FACE):  blower effects on wheat canopy microclimate and plant development.  Agricultural and Forest Meteorology 103:319-332. 2000.",MaricopaFACE_wheat_pinter_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 1995","Pregitzer et al., 1995. Atmospheric CO2, Soil-Nitrogen and Turnover of Fine Roots. New Phytologist 129, 579-585.",MBS_pe_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 1995","Pregitzer et al., 1995. Atmospheric CO2, Soil-Nitrogen and Turnover of Fine Roots. New Phytologist 129, 579-585.",MBS_pe_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2000","Pregitzer et al., 2000. Interactive effects of atmospheric CO2 and soil-N availability on fine roots of Populus tremuloides. Ecological Applications 10, 18-33.",MBS_pt2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2000","Pregitzer et al., 2000. Interactive effects of atmospheric CO2 and soil-N availability on fine roots of Populus tremuloides. Ecological Applications 10, 18-33.",MBS_pt2_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2006","Pregitzer et al., 2006. Soil respiration in northern forests exposed to elevated atmospheric carbon dioxide and ozone. Oecologia 148, 503-516.",FACTS II FACE3_pt_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2006","Pregitzer et al., 2006. Soil respiration in northern forests exposed to elevated atmospheric carbon dioxide and ozone. Oecologia 148, 503-516.",FACTS II FACE3_ptbp_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_pt_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_pt_co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_ptas_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_ptas_co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_ptbp_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pregitzer et al., 2008","Pregitzer KS, Burton AJ, King JS, Zak DR (2008) Soil respiration, root biomass, and root turnover following long-term exposure of northern forests to elevated atmospheric co-2 and tropospheric o-3. New Phytologist, 180, 153-161.",FACTS II FACE3_ptbp_co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 1994b","Prior, S. A., Rogers, H. H., Runion, G. B., & Hendrey, G. R. (1994). Free-air CO 2 enrichment of cotton: vertical and lateral root distribution patterns. In Belowground Responses to Rising Atmospheric CO2: Implications for Plants, Soil Biota, and Ecosystem Processes (pp. 33-44). Springer, Dordrecht.",MaricopaFACE_cotton_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 1995","Prior, S. A., Rogers, H. H., Runion, G. B., Kimball, B. A., Mauney, J. R., Lewin, K. F., ... & Hendrey, G. R. (1995). Free-air carbon dioxide enrichment of cotton: Root morphological characteristics. Journal of environmental quality, 24(4), 678-683.",MaricopaFACE_cotton_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 1995","Prior, S. A., Rogers, H. H., Runion, G. B., Kimball, B. A., Mauney, J. R., Lewin, K. F., ... & Hendrey, G. R. (1995). Free-air carbon dioxide enrichment of cotton: Root morphological characteristics. Journal of environmental quality, 24(4), 678-683.",MaricopaFACE_cotton_d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 2008","Prior, S. A., Torbert, H. A., Runion, G. B., Rogers, H. H., & Kimball, B. A. (2008). Free-air CO 2 enrichment of sorghum: soil carbon and nitrogen dynamics. Journal of environmental quality, 37(3), 753-758.",MaricopaFACE_sorghum99_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 2008","Prior, S. A., Torbert, H. A., Runion, G. B., Rogers, H. H., & Kimball, B. A. (2008). Free-air CO 2 enrichment of sorghum: soil carbon and nitrogen dynamics. Journal of environmental quality, 37(3), 753-758.",MaricopaFACE_sorghum99_ci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prior et al., 2008","Prior, S. A., Torbert, H. A., Runion, G. B., Rogers, H. H., & Kimball, B. A. (2008). Free-air CO 2 enrichment of sorghum: soil carbon and nitrogen dynamics. Journal of environmental quality, 37(3), 753-758.",MaricopaFACE_sorghum99_i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pritchard et al., 2008","Pritchard SG, Strand AE, McCormack ML, et al. (2008) Fine root dynamics in a loblolly pine forest are influenced by free-air-co2-enrichment: A six-year-minirhizotron study. Global Change Biology, 14, 588-602.",DUKE_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan et al. 2011,"Regan K, Kammann C, Hartung K et al. (2011) Can differences in microbial abundances help explain enhanced N2O emissions in a permanent grassland under elevated atmospheric CO2? Global Change Biology, 17, 3176–3186.",GiFACE_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan et al. 2011,"Regan K, Kammann C, Hartung K et al. (2011) Can differences in microbial abundances help explain enhanced N2O emissions in a permanent grassland under elevated atmospheric CO2? Global Change Biology, 17, 3176–3186.",GiFACE_ci-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan et al. 2011,"Regan K, Kammann C, Hartung K et al. (2011) Can differences in microbial abundances help explain enhanced N2O emissions in a permanent grassland under elevated atmospheric CO2? Global Change Biology, 17, 3176–3186.",GiFACE_ci+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan et al. 2011,"Regan K, Kammann C, Hartung K et al. (2011) Can differences in microbial abundances help explain enhanced N2O emissions in a permanent grassland under elevated atmospheric CO2? Global Change Biology, 17, 3176–3186.",GiFACE_i-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regan et al. 2011,"Regan K, Kammann C, Hartung K et al. (2011) Can differences in microbial abundances help explain enhanced N2O emissions in a permanent grassland under elevated atmospheric CO2? Global Change Biology, 17, 3176–3186.",GiFACE_i+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001a","Reich PB, Tilman D, Craine J, Ellsworth D, Tjoelker MG, Knops J, Bengtson W et al. 2001. Do species and functional groups differ in acquisition and use of C, N and water under varying atmospheric CO2 and N availability regimes? A field test with 16 grassland species. New Phytologist, 150(2): 435-448.",BioCON_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001a","Reich PB, Tilman D, Craine J, Ellsworth D, Tjoelker MG, Knops J, Bengtson W et al. 2001. Do species and functional groups differ in acquisition and use of C, N and water under varying atmospheric CO2 and N availability regimes? A field test with 16 grassland species. New Phytologist, 150(2): 435-448.",BioCON_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001a","Reich PB, Tilman D, Craine J, Ellsworth D, Tjoelker MG, Knops J, Bengtson W et al. 2001. Do species and functional groups differ in acquisition and use of C, N and water under varying atmospheric CO2 and N availability regimes? A field test with 16 grassland species. New Phytologist, 150(2): 435-448.",BioCON_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001b","Reich PB, Knops J, Tilman D, Craine J, Ellsworth D, Tjoelker M, Hendrey G et al. 2001. Plant diversity enhances ecosystem responses to elevated CO 2 and nitrogen deposition. Nature, 410(6830): 809.",BioCON_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001b","Reich PB, Knops J, Tilman D, Craine J, Ellsworth D, Tjoelker M, Hendrey G et al. 2001. Plant diversity enhances ecosystem responses to elevated CO 2 and nitrogen deposition. Nature, 410(6830): 809.",BioCON_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2001b","Reich PB, Knops J, Tilman D, Craine J, Ellsworth D, Tjoelker M, Hendrey G et al. 2001. Plant diversity enhances ecosystem responses to elevated CO 2 and nitrogen deposition. Nature, 410(6830): 809.",BioCON_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2004","Reich PB, Tilman D, Naeem S, Ellsworth DS, Knops J, Craine J,Trost J et al. 2004. Species and functional group diversity independently influence biomass accumulation and its response to CO2 and N. Proceedings of the National Academy of Sciences, 101(27): 10101-10106.",BioCON_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2004","Reich PB, Tilman D, Naeem S, Ellsworth DS, Knops J, Craine J,Trost J et al. 2004. Species and functional group diversity independently influence biomass accumulation and its response to CO2 and N. Proceedings of the National Academy of Sciences, 101(27): 10101-10106.",BioCON_cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2004","Reich PB, Tilman D, Naeem S, Ellsworth DS, Knops J, Craine J,Trost J et al. 2004. Species and functional group diversity independently influence biomass accumulation and its response to CO2 and N. Proceedings of the National Academy of Sciences, 101(27): 10101-10106.",BioCON_f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Reich et al., 2006","Reich et al., 2006. Nitrogen limitation constraints sustainability of ecosystem response to CO2. Nature 440, 922-825.",BioCON_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
